Our lives begin to end the day we become silent about things that matter.
"We must use time creatively, in the knowledge that the time is always right to do right."
Now is the time to make real the promises of democracy.
"Evil may so shape events that Caesar will occupy a palace and Christ a cross, but one day that same Christ will rise up and split history into AD and BC so that even the life of Caesar must be dated by his name"
"We must rapidly begin the shift from a ""thing-oriented"" society to a ""person-oriented"" society. When machines and computers, profit motives and property rights are considered more important than people, the giant triplets of racism, materialism and militarism are incapable of being conquered"
"It takes empathy, patience, and compassion to overcome anger, hatred, and resentment."
Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.
Love is the only force capable of transforming an enemy into friend.
Peace is more precious than diamonds or silver or gold.
"History will have to record that the greatest tragedy of this period of social transition was not the strident clamor of the bad people, but the appalling silence of the good people."
"If you can fly, then run. If you can't run, then walk. If you can't walk, then crawl, but whatever you do, you have to keep moving forward."
That old law about an eye for an eye leaves everybody blind. The time is always right to do the right thing right.
We must learn to live together as brothers or we will perish together as fools.
We are not makers of history. We are made by history.
"In the end, we will remember not the words of our enemies, but the silence of our friends."
I have decided to stick with love. Hate is too great a burden to bear.
"We are prone to judge success by the index of our salaries or the size of our automobiles, rather than by the quality of our service relationship to humanity."
People fail to get along because they fear each other; they fear each other because they don't know each other; they don't know each other because they have not communicated with each other.
"For when people get caught up with that which is right and they are willing to sacrifice for it, there is no stopping point short of victory"
"Nonviolence is a powerful and just weapon, which cuts without wounding and ennobles the man who wields it. It is a sword that heals."
